2017.05.01 22:20:05 INFO  es[][o.s.p.ProcessEntryPoint] Starting es
2017.05.01 22:20:06 INFO  es[][o.s.s.EsSettings] Elasticsearch listening on /127.0.0.1:9001
2017.05.01 22:20:06 INFO  es[][o.elasticsearch.node] [sonarqube] version[2.4.4], pid[19800], build[fcbb46d/2017-01-03T11:33:16Z]
2017.05.01 22:20:06 INFO  es[][o.elasticsearch.node] [sonarqube] initializing ...
2017.05.01 22:20:06 INFO  es[][o.e.plugins] [sonarqube] modules [], plugins [], sites []
2017.05.01 22:20:06 INFO  es[][o.elasticsearch.env] [sonarqube] using [1] data paths, mounts [[OS (C:)]], net usable_space [659gb], net total_space [917.4gb], spins? [unknown], types [NTFS]
2017.05.01 22:20:06 INFO  es[][o.elasticsearch.env] [sonarqube] heap size [989.8mb], compressed ordinary object pointers [true]
2017.05.01 22:20:11 INFO  es[][o.elasticsearch.node] [sonarqube] initialized
2017.05.01 22:20:11 INFO  es[][o.elasticsearch.node] [sonarqube] starting ...
2017.05.01 22:20:11 INFO  es[][o.e.transport] [sonarqube] publish_address {127.0.0.1:9001}, bound_addresses {127.0.0.1:9001}
2017.05.01 22:20:11 INFO  es[][o.e.discovery] [sonarqube] sonarqube/IyzRywgDTECHEgNo3QJXNw
2017.05.01 22:20:15 INFO  es[][o.e.cluster.service] [sonarqube] new_master {sonarqube}{IyzRywgDTECHEgNo3QJXNw}{127.0.0.1}{127.0.0.1:9001}{rack_id=sonarqube, master=true}, reason: zen-disco-join(elected_as_master, [0] joins received)
2017.05.01 22:20:15 INFO  es[][o.elasticsearch.node] [sonarqube] started
2017.05.01 22:20:15 INFO  es[][o.e.gateway] [sonarqube] recovered [0] indices into cluster_state
2017.05.01 22:20:27 INFO  es[][o.e.cluster.metadata] [sonarqube] [components] creating index, cause [api], templates [], shards [5]/[0], mappings []
2017.05.01 22:20:28 INFO  es[][o.e.c.r.allocation] [sonarqube] Cluster health status changed from [RED] to [GREEN] (reason: [shards started [[components][4], [components][4]] ...]).
2017.05.01 22:20:29 INFO  es[][o.e.cluster.metadata] [sonarqube] [components] create_mapping [component]
2017.05.01 22:20:29 INFO  es[][o.e.cluster.metadata] [sonarqube] [components] create_mapping [authorization]
2017.05.01 22:20:29 INFO  es[][o.e.cluster.metadata] [sonarqube] [tests] creating index, cause [api], templates [], shards [5]/[0], mappings []
2017.05.01 22:20:30 INFO  es[][o.e.c.r.allocation] [sonarqube] Cluster health status changed from [RED] to [GREEN] (reason: [shards started [[tests][4]] ...]).
2017.05.01 22:20:30 INFO  es[][o.e.cluster.metadata] [sonarqube] [tests] create_mapping [test]
2017.05.01 22:20:30 INFO  es[][o.e.cluster.metadata] [sonarqube] [projectmeasures] creating index, cause [api], templates [], shards [5]/[0], mappings []
2017.05.01 22:20:31 INFO  es[][o.e.c.r.allocation] [sonarqube] Cluster health status changed from [RED] to [GREEN] (reason: [shards started [[projectmeasures][4]] ...]).
2017.05.01 22:20:31 INFO  es[][o.e.cluster.metadata] [sonarqube] [projectmeasures] create_mapping [projectmeasure]
2017.05.01 22:20:31 INFO  es[][o.e.cluster.metadata] [sonarqube] [projectmeasures] create_mapping [authorization]
2017.05.01 22:20:31 INFO  es[][o.e.cluster.metadata] [sonarqube] [rules] creating index, cause [api], templates [], shards [1]/[0], mappings []
2017.05.01 22:20:32 INFO  es[][o.e.c.r.allocation] [sonarqube] Cluster health status changed from [RED] to [GREEN] (reason: [shards started [[rules][0]] ...]).
2017.05.01 22:20:32 INFO  es[][o.e.cluster.metadata] [sonarqube] [rules] create_mapping [activeRule]
2017.05.01 22:20:32 INFO  es[][o.e.cluster.metadata] [sonarqube] [rules] create_mapping [rule]
2017.05.01 22:20:32 INFO  es[][o.e.cluster.metadata] [sonarqube] [issues] creating index, cause [api], templates [], shards [5]/[0], mappings []
2017.05.01 22:20:33 INFO  es[][o.e.c.r.allocation] [sonarqube] Cluster health status changed from [RED] to [GREEN] (reason: [shards started [[issues][4]] ...]).
2017.05.01 22:20:33 INFO  es[][o.e.cluster.metadata] [sonarqube] [issues] create_mapping [issue]
2017.05.01 22:20:33 INFO  es[][o.e.cluster.metadata] [sonarqube] [issues] create_mapping [authorization]
2017.05.01 22:20:33 INFO  es[][o.e.cluster.metadata] [sonarqube] [users] creating index, cause [api], templates [], shards [1]/[0], mappings []
2017.05.01 22:20:33 INFO  es[][o.e.c.r.allocation] [sonarqube] Cluster health status changed from [RED] to [GREEN] (reason: [shards started [[users][0]] ...]).
2017.05.01 22:20:33 INFO  es[][o.e.cluster.metadata] [sonarqube] [users] create_mapping [user]
2017.05.01 22:20:33 INFO  es[][o.e.cluster.metadata] [sonarqube] [views] creating index, cause [api], templates [], shards [5]/[0], mappings []
2017.05.01 22:20:34 INFO  es[][o.e.c.r.allocation] [sonarqube] Cluster health status changed from [RED] to [GREEN] (reason: [shards started [[views][4]] ...]).
2017.05.01 22:20:34 INFO  es[][o.e.cluster.metadata] [sonarqube] [views] create_mapping [view]
