date,bodyweight,exercise,weight,reps,sets,time
03-27-2017,196.4,Parallel Bar Dips,45.0,25,1,0.0
03-27-2017,196.4,Parallel Bar Dips,45.0,15,1,0.0
03-27-2017,196.4,Parallel Bar Dips,45.0,15,1,0.0
03-27-2017,196.4,Parallel Bar Dips,45.0,5,1,0.0
03-27-2017,196.4,Sandbag Curl,20.0,40,1,0.0
03-27-2017,196.4,Situps,0.0,30,1,0.0
03-27-2017,196.4,Neck Curl,20.0,100,1,0.0
03-27-2017,196.4,Sandbag Reverse Curl,10.0,30,1,0.0
03-27-2017,196.4,Sandbag Tri Ext,10.0,50,1,0.0
03-28-2017,196.4,One Leg Calf Raise,0.0,20,1,0.0
