date,bodyweight,exercise,weight,reps,sets
04-20-2017,196.4,Parallel Bar Dips,45.0,25,1
04-20-2017,196.4,Parallel Bar Dips,45.0,15,1
04-21-2017,196.4,Parallel Bar Dips,45.0,15,1
04-21-2017,196.4,Sandbag Curl,20.0,40,1
04-22-2017,196.4,Situp,0.0,30,1
04-22-2017,196.4,Neck Curl,20.0,100,1
04-23-2017,196.4,Sandbag Reverse Curl,10.0,30,1
04-25-2017,196.4,One Leg Calve Raise,0.0,20,1
04-25-2017,196.4,Parallel Bar Dips,45.0,55,2
04-25-2017,196.4,Parallel Bar Dips,45.0,80,2
04-25-2017,196.4,One Leg Calve Raise,0.0,30,1
04-24-2017,191.6,Parallel Bar Dips,123.0,23,2
04-24-2017,191.6,Sandbag Curl,60.0,5,5
04-25-2017,196.4,Sandbag Reverse Curl,50.0,30,3
04-25-2017,191.0,Parallel Bar Dips,115.0,6,1
04-25-2017,191.0,Parallel Bar Dips,0.0,10,5
04-25-2017,191.0,Ring Dips,123.0,50,5
04-23-2017,191.0,Ring Dips,123.0,50,15
04-23-2017,191.0,Handstand Pushup,40.0,30,5
04-14-2017,191.0,Parallel Bar Dips,8.0,8,8
